55.94,151.09
55.94,148.75
57.34,146.41
58.75,147.34
58.75,149.69
56.88,152.03
56.41,154.38
56.41,156.72
56.41,159.06
57.34,161.41
58.28,163.75
58.28,166.09
59.22,168.44
60.16,170.78
61.09,173.12
62.50,175.47
63.44,177.81
65.31,180.16
67.66,181.56
69.53,183.44
70.94,184.38
72.81,186.25
75.16,187.19
75.62,185.78
77.50,187.19
79.38,186.25
80.31,187.66
82.66,188.12
85.00,188.59
85.47,186.25
86.41,188.12
88.75,188.59
89.22,187.19
90.16,188.59
92.03,187.19
92.97,187.19
93.91,187.66
94.84,188.59
96.25,186.25
95.78,183.91
93.44,183.91
91.09,182.97
88.75,182.50
86.88,181.09
84.53,181.09
83.59,180.62
81.25,179.69
78.91,179.69
77.03,178.75
74.69,178.28
73.28,176.88
72.81,175.47
71.41,174.06
72.34,172.66
72.34,171.72
72.34,169.38
72.81,167.50
71.88,166.09
70.94,164.22
68.59,163.28
70.00,161.88
68.59,160.00
69.06,159.06
68.59,156.72
66.72,156.25
66.25,153.91
69.06,155.31
68.12,152.97
67.19,150.62
68.59,150.16
68.59,148.28
67.19,146.41
68.59,145.94
68.12,143.59
66.72,141.72
66.72,140.31
65.78,137.97
63.44,137.97
61.56,140.31
60.16,142.66
59.69,145.00
58.75,146.41
60.62,146.88
60.62,145.47
62.03,143.12
62.97,141.25
62.97,140.31
64.38,137.03
66.25,135.16
66.25,137.03
67.66,133.75
69.53,132.34
70.00,134.69
68.59,136.09
69.53,137.50
67.19,138.91
70.00,138.44
69.06,140.78
68.59,142.19
69.06,142.19
70.94,137.03
70.94,136.56
72.81,135.16
75.16,134.22
77.50,133.28
77.97,133.28
79.84,132.34
80.31,132.34
81.72,133.75
81.25,132.34
83.59,132.34
82.19,130.47
84.06,133.75
86.41,131.88
86.88,129.53
87.34,130.47
88.75,131.88
88.75,129.06
90.62,130.00
91.56,129.53
93.91,129.06
94.84,127.19
94.84,129.53
96.72,131.41
96.72,133.75
96.72,136.09
96.25,138.44
96.25,140.78
96.72,143.12
96.72,145.47
97.19,147.81
97.66,150.16
97.66,152.50
99.53,154.38
99.53,156.72
100.00,159.06
98.12,161.41
97.66,163.75
97.66,166.09
97.19,168.44
97.19,170.78
97.66,173.12
97.66,175.47
97.66,177.81
98.12,180.16
100.00,181.09
102.34,179.69
104.69,179.22
107.03,178.75
108.91,176.88
109.38,174.53
109.38,172.19
109.84,169.84
109.38,167.50
109.84,172.66
100.47,160.00
102.81,160.00
104.69,159.53
106.09,160.94
106.09,161.41
108.44,162.81
110.31,162.81
108.44,160.47
110.78,163.75
113.12,164.69
115.47,165.62
117.81,166.56
118.75,165.16
101.88,153.91
102.34,155.78
103.28,153.91
105.62,152.97
105.62,150.62
108.44,151.09
110.31,149.22
110.31,147.81
111.25,148.75
113.59,147.81
115.47,147.34
117.34,145.47
116.88,150.16
115.00,152.03
115.94,154.38
116.88,156.72
115.94,159.06
115.47,161.41
117.81,160.94
117.34,163.28
116.88,151.56
99.06,132.81
101.41,133.75
103.75,134.22
106.09,135.16
70.47,132.34
71.88,130.00
72.81,128.59
75.16,127.19
77.50,125.78
79.84,125.31
81.72,123.91
84.06,123.44
84.53,123.44
85.47,125.31
86.41,123.91
88.75,122.97
90.16,122.50
91.56,123.44
92.03,125.31
93.44,123.44
95.78,123.44
98.12,123.44
97.19,125.78
99.53,122.97
101.88,123.44
104.22,123.44
106.56,123.44
108.91,123.91
110.78,124.38
112.66,123.91
115.00,124.38
116.41,126.25
115.47,128.59
113.12,128.59
110.78,128.12
